country,article_name,revision_id,article_quality,population (millions)
zambia,Gladys Lundwe,757566606,Stub,17.7
zambia,Mwamba Luchembe,764848643,Stub,17.7
zambia,Thandiwe Banda,768166426,Start,17.7
zambia,Sylvester Chisembele,776082926,C,17.7
zambia,Victoria Kalima,776530837,Start,17.7
zambia,Margaret Mwanakatwe,779747587,Start,17.7
zambia,Nkandu Luo,779747961,Start,17.7
zambia,Susan Nakazwe,779748181,Start,17.7
zambia,Catherine Namugala,779748285,Start,17.7
zambia,Edith Nawakwi,779748522,Start,17.7
zambia,Joyce Nonde-Simukoko,779748628,Start,17.7
zambia,Gladys Nyirongo,779748837,C,17.7
zambia,Vera Tembo,779748931,C,17.7
zambia,Ompie Nkumbula-Lieventhal,790011468,Stub,17.7
zambia,Besnat Jere,791225634,Stub,17.7
zambia,Esther Lungu,792296625,C,17.7
zambia,Inonge Wina,794006130,Start,17.7
zambia,Maureen Mwanawasa,795820299,Start,17.7
zambia,First Lady of Zambia,796467991,Start,17.7
zambia,Jean Kapata,797469872,Start,17.7
zambia,Peter Sinkamba,799512628,Start,17.7
zambia,Gwendoline Konie,803304465,Start,17.7
zambia,Kenneth Kaunda,805875783,C,17.7
zambia,Inonge Mbikusita-Lewanika,805993958,Start,17.7
zambia,Yobert K. Shamapande,806345311,C,17.7
chad,Bir I of Kanem,355319463,Stub,15.4
chad,Abdullah II of Kanem,498683267,Stub,15.4
chad,Salmama II of Kanem,565745353,Stub,15.4
chad,Kuri I of Kanem,565745365,Stub,15.4
chad,Mohammed I of Kanem,565745375,Stub,15.4
chad,Kuri II of Kanem,669719757,Stub,15.4
chad,Bir II of Kanem,670893206,Stub,15.4
chad,Mahamat Hissene,693055898,Stub,15.4
chad,Othman I,705432607,Stub,15.4
chad,Alphonse Kotiga,707593108,Stub,15.4
chad,Oueddei Kichidemi,708346649,Start,15.4
chad,Dunama I,710675092,Stub,15.4
chad,Ahmad (Kanem-Bornu king),711388267,Stub,15.4
chad,Djibrine Kerallah,712971263,Stub,15.4
chad,Maurice Ngangtar,712971315,Stub,15.4
chad,Idriss Miskine,712971738,Stub,15.4
chad,Laoukein Kourayo Médard,716886170,Stub,15.4
chad,Nadji Madou,716886788,Stub,15.4
chad,Noël Milarew Odingar,716891799,Start,15.4
chad,Yaya Dillo Djérou,717733209,Stub,15.4
chad,Acheikh Ibn-Oumar,719821590,Start,15.4
chad,Quatre Sou Quatre,720066754,Stub,15.4
chad,Ali Gazi,722563340,Stub,15.4
chad,Mahamat Djarma Khatir,725132042,Stub,15.4
chad,Dunama IX Lefiami,731749611,Stub,15.4
chad,Dawud of Kanem,736550266,Stub,15.4
chad,Ahmed Koulamallah,738855197,Start,15.4
chad,Abbo Nassour,741369486,B,15.4
chad,Abdel Kader Baba-Laddé,742213176,Stub,15.4
chad,Hummay,747271475,Stub,15.4
chad,Ngarlejy Yorongar,751304544,C,15.4
chad,Saleh Kezabo,751380073,Stub,15.4
chad,Bourkou Louise Kabo,757072468,Start,15.4
chad,Brahim Koulamallah,757802238,Stub,15.4
chad,Saadie Goukouni Weddeye,757842614,Start,15.4
chad,Mahamoud Adam Béchir,762579466,Start,15.4
chad,Kalthouma Nguembang,762816132,Stub,15.4
chad,Djidingar Dono Ngardoum,764133533,Stub,15.4
chad,Template:ChadPMs,768123377,Stub,15.4
chad,Template:ChadPres,770535091,Stub,15.4
chad,Youssouf Saleh Abbas,771052289,B,15.4
chad,Koibla Djimasta,774223245,Start,15.4
chad,Nassour Guelendouksia Ouaido,774223248,C,15.4
chad,Joseph Brahim Seid,777478442,Stub,15.4
chad,Joseph Yodoyman,777550078,Start,15.4
chad,Antoine Bangui,782638002,Start,15.4
chad,Ibrahim IV of Bornu,785614014,Stub,15.4
chad,Hadjé Halimé,786449636,C,15.4
chad,Youssouf Togoïmi,787390241,Start,15.4
chad,Adoum Younousmi,787719236,Start,15.4
chad,François Tombalbaye,787738541,C,15.4
chad,Ahmat Hassaballah Soubiane,787910771,Stub,15.4
chad,Ahmad Allam-Mi,787921293,Start,15.4
chad,Laotegguelnodji Koumtog,788009613,Stub,15.4
chad,Mahamat Ali Adoum,788014671,Start,15.4
chad,Mahamat Saleh Annadif,788658822,C,15.4
chad,Mohamed Bechir-Sow,788827248,Stub,15.4
chad,Gontchomé Sahoulba,788828388,Start,15.4
chad,Gabriel Lisette,788828519,Start,15.4
chad,Ali II of Bornu,788999424,Stub,15.4
chad,Arabi El Goni,789126126,Stub,15.4
chad,Dunama Dabbalemi,789935196,Start,15.4
chad,Idris Alooma,792734868,Start,15.4
chad,Mahamat Nouri,792954115,FA,15.4
chad,Idriss Ndele Moussa,796654025,Stub,15.4
chad,Mbaydoum Simeon,796690873,Stub,15.4
chad,Ngarindo Milengar,796700718,Stub,15.4
chad,List of Prime Ministers of Chad,797747674,Start,15.4
chad,Idriss Déby,798286150,C,15.4
chad,Saleh Kebzabo,798626040,C,15.4
chad,Moussa Faki,799043301,C,15.4
chad,Template:Chad-politician-stub,799373925,Stub,15.4
chad,Kalzeubet Pahimi Deubet,799413193,Start,15.4
chad,Haroun Kabadi,799447895,Start,15.4
chad,Nagoum Yamassoum,799447995,Start,15.4
chad,Outel Bono,799448338,Start,15.4
chad,Ahmat Acyl,799902492,C,15.4
chad,Djimrangar Dadnadji,800133552,Start,15.4
chad,Delwa Kassiré Koumakoye,801029539,C,15.4
chad,Fidèle Moungar,801192255,C,15.4
chad,Jean Alingué Bawoyeu,801192303,B,15.4
chad,Emmanuel Nadingar,801573576,C,15.4
chad,Roger Djikisna,801583221,Stub,15.4
chad,Firmin Djidingar,801583260,Stub,15.4
chad,Idris I of Kanem,802874918,Stub,15.4
chad,Vice President of Chad,803166509,Stub,15.4
chad,Hissène Habré,803166806,GA,15.4
chad,Negue Djogo,803166989,Start,15.4
chad,Wadel Abdelkader Kamougué,803167152,C,15.4
chad,Félix Malloum,803167336,Start,15.4
chad,Lol Mahamat Choua,803167424,C,15.4
chad,Goukouni Oueddei,803167990,C,15.4
chad,Albert Pahimi Padacké,803433107,C,15.4
chad,List of heads of state of Chad,803812011,Start,15.4
chad,Elise Loum,804773540,Start,15.4
chad,Agnes Allafi,805493169,Start,15.4
chad,Christine Georges Diguibaye,806337653,Stub,15.4
chad,Pascal Yoadimnadji,806508985,Start,15.4
chad,Aissa Koli,806616268,Start,15.4
chad,Omar I of Kanem,807425129,Start,15.4
zimbabwe,Template:Zimbabwe-politician-stub,391862046,Stub,14
zimbabwe,Template:Zimbabwe-mayor-stub,444767985,Stub,14
zimbabwe,Jabulani Dube,645408814,Stub,14
zimbabwe,Fletcher Dulini,669981316,Stub,14
zimbabwe,Leopold Takawira,710060929,Start,14
zimbabwe,Tinos Rusere,710524880,Start,14
zimbabwe,Gift Tandare,710615823,Stub,14
zimbabwe,Engelbert Rugeje,711448400,Start,14
zimbabwe,Max Mnkandla,711509855,Stub,14
zimbabwe,Lovemore Matombo,711958194,Stub,14
zimbabwe,Alfred Nikita Mangena,712004487,Stub,14
zimbabwe,Simbi Mubako,713121927,Stub,14
